Source,Target
FEN1,PARP1
FEN1,RBBP8
FEN1,POLB
FEN1,POLQ
FEN1,APEX1
FEN1,PARG
FEN1,PCNA
PARP1,CETN2
PARP1,POLQ
PARP1,RBBP8
PARP1,CHD1L
PARP1,ERCC1
PARP1,ERCC5
PARP1,PCNA
PARP1,XPA
PARP1,PARG
PARP1,APEX1
CETN2,PIAS1
CETN2,UBE2I
CETN2,INO80
CETN2,XPC
CETN2,CHD1L
CETN2,RNF111
CETN2,UBE2N
CETN2,XPA
PIAS1,UBE2I
UBE2I,RNF168
UBE2I,SUMO2
UBE2I,HERC2
UBE2I,SUMO1
BRIP1,RAD1
BRIP1,RAD17
BRIP1,RHNO1
BRIP1,TOPBP1
BRIP1,CHEK1
BRIP1,CLSPN
BRIP1,TIMELESS
BRIP1,RAD52
BRIP1,BRCA1
BRIP1,DNA2
BRIP1,MUS81
BRIP1,FIGNL1
BRIP1,ATM
BRIP1,KAT5
BRIP1,PALB2
BRIP1,RAD51AP1
BRIP1,RBBP8
BRIP1,RTEL1
BRIP1,SEM1
BRIP1,PCNA
BRIP1,LIG1
BRIP1,RAD51
BRIP1,ERCC1
BRIP1,SPIDR
BRIP1,TOP3A
BRIP1,ATR
BRIP1,GEN1
RAD1,RAD17
RAD1,RHNO1
RAD1,TOPBP1
RAD1,ATM
RAD1,ATR
RAD1,BRCA1
RAD1,DNA2
RAD1,ERCC1
RAD1,KAT5
RAD1,LIG1
RAD1,RAD51
RAD1,RAD52
RAD1,RBBP8
RAD1,SEM1
RAD17,RHNO1
RAD17,TOPBP1
RAD17,ATM
RAD17,ATR
RAD17,BRCA1
RAD17,DNA2
RAD17,ERCC1
RAD17,KAT5
RAD17,LIG1
RAD17,RAD51
RAD17,RAD52
RAD17,RBBP8
RAD17,SEM1
RHNO1,TOPBP1
RHNO1,ATM
RHNO1,ATR
RHNO1,BRCA1
RHNO1,DNA2
RHNO1,ERCC1
RHNO1,KAT5
RHNO1,LIG1
RHNO1,RAD51
RHNO1,RAD52
RHNO1,RBBP8
RHNO1,SEM1
TOPBP1,ATM
TOPBP1,ATR
TOPBP1,BRCA1
TOPBP1,DNA2
TOPBP1,ERCC1
TOPBP1,KAT5
TOPBP1,LIG1
TOPBP1,RAD51
TOPBP1,RAD52
TOPBP1,RBBP8
TOPBP1,SEM1
CHEK1,CLSPN
CHEK1,TIMELESS
CHEK1,SEM1
CHEK1,RAD51
CLSPN,TIMELESS
DCLRE1C,TDP2
DCLRE1C,RNF168
DCLRE1C,LIG4
DCLRE1C,NHEJ1
DCLRE1C,POLM
DCLRE1C,PRKDC
DCLRE1C,XRCC6
RAD52,BRCA2
RAD52,POLQ
RAD52,ABL1
RAD52,ATM
RAD52,ATR
RAD52,BRCA1
RAD52,DNA2
RAD52,ERCC1
RAD52,KAT5
RAD52,LIG1
RAD52,RAD51
RAD52,RBBP8
BARD1,BRCA1
BARD1,DCAF8L1
BRCA1,DNA2
BRCA1,UBXN1
BRCA1,ATM
BRCA1,KAT5
BRCA1,PALB2
BRCA1,RAD51AP1
BRCA1,RBBP8
BRCA1,RTEL1
BRCA1,SEM1
BRCA1,BABAM1
BRCA1,BRCC3
BRCA1,RNF168
BRCA1,BAP1
BRCA1,SPIDR
BRCA1,TOP3A
BRCA1,PIAS4
BRCA1,RNF4
BRCA1,RNF8
BRCA1,SUMO1
BRCA1,SUMO2
BRCA1,TP53BP1
BRCA1,UBE2N
BRCA1,UIMC1
BRCA1,ATR
BRCA1,ERCC1
BRCA1,LIG1
BRCA1,RAD51
BRCA1,DCAF8L1
